CSAFP,csa_name,csa_pop
508,"Shreveport-Bossier City-Minden, LA",418533
512,"Sioux City-Le Mars, IA-NE-SD",170124
515,"South Bend-Elkhart-Mishawaka, IN-MI",809876
517,"Spencer-Spirit Lake, IA",34567
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",785302
521,"Springfield-Amherst Town-Northampton, MA",693629
522,"Springfield-Jacksonville-Lincoln, IL",303113
523,"Starkville-Columbus, MS",128388
524,"State College-DuBois, PA",234885
532,"Syracuse-Auburn, NY",727441
533,"Tallahassee-Bainbridge, FL-GA",421732
536,"Tucson-Nogales, AZ",1112320
538,"Tulsa-Bartlesville-Muskogee, OK",1165140
539,"Tupelo-Corinth, MS",166162
540,"Tyler-Jacksonville, TX",297426
542,"Union City-Martin, TN",63495
544,"Victoria-Port Lavaca, TX",118504
545,"Virginia Beach-Chesapeake, VA-NC",1866723
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10069592
554,"Wausau-Stevens Point-Wisconsin Rapids, WI",283575
555,"Weatherford-Elk City, OK",61044
556,"Wichita-Arkansas City-Winfield, KS",687096
558,"Williamsport-Lock Haven, PA",150331
566,"Youngstown-Warren-Salem, OH",526151
